admin1_code,std_dev_age,native_share,education_variability,nuts118nm,job_variability,frac_employed,median_income,gini_index,Lindqvist_Ostling_S1,Abramowitz_Saunders_S1,Duca_Saving_S1,Lindqvist_Ostling_S2,Abramowitz_Saunders_S2,Duca_Saving_S2,Lindqvist_Ostling_S3,Abramowitz_Saunders_S3,Duca_Saving_S3
UK_3,18.92977228,0.946182728,399,East Midlands,399,0.446808511,6427.445313,0.485967897,6.068942695,3.198998748,0.003276271,5.688696083,2.892365457,0.001800009,5.603749675,2.986232791,0.000209966
UK_5,18.51145673,0.953883495,411.5,East of England,411.5,0.470873786,7721.132813,0.497099252,5.260861872,3.13592233,0.001973755,5.220031792,2.969660194,0.001221257,5.111845132,3.072815534,0.000129362
UK_6,17.6508521,0.938340807,445.5,London,445.5,0.487668161,8279.160645,0.520353421,6.656564398,3.339686099,1.05E-05,5.990008455,2.882286996,0.00224487,6.093645725,3.08632287,0.000412099
UK_0,18.64008964,0.964622642,211.5,North East,211.5,0.464622642,6390.706543,0.455351775,5.040434453,3.216981132,6.45E-05,4.642440564,2.875,6.38E-05,4.252904902,2.771226415,6.15E-05
UK_1,18.63668226,0.955357143,559.5,North West,559.5,0.46875,6927.100586,0.496123116,5.844235925,3.283928571,0.000887381,5.414719775,2.801785714,3.59E-05,4.888317854,2.836607143,0.000392215
UK_10,18.13205098,0.934601665,420,Scotland,420,0.475624257,6681.736328,0.497526678,7.773370704,3.38882283,0.000848037,6.928947964,2.825208086,6.31E-05,6.442398505,2.858501784,0.000861162
UK_7,18.15145186,0.946148093,668,South East,668,0.504113687,7912.114746,0.494031596,6.076754867,3.204936425,4.57E-05,5.685174154,2.962602842,2.11E-05,5.608986962,3.103216156,4.46E-06
UK_8,19.02661964,0.940828402,422,South West,422,0.455621302,6339.334961,0.494527316,6.86050366,3.226035503,0.00032404,6.503878404,2.953846154,0.000296996,6.449137665,3.080473373,0.000301463
UK_9,18.73423875,0.947261663,246,Wales,246,0.39959432,6077.859863,0.458941589,6.712932271,3.367139959,0.000640394,6.158124309,2.855983773,4.61E-05,5.420529692,2.720081136,0.000573846
UK_4,18.25322501,0.966459627,402,West Midlands,402,0.475776398,6500,0.484509679,4.558054448,3.070807453,0.006533081,4.226745156,2.772670807,0.000658622,4.119118692,2.92173913,1.81E-05
UK_2,18.85628809,0.967403958,429,Yorkshire & Humber,429,0.462165308,6588.619141,0.471141046,4.653299359,3.310826542,0.000785126,4.173454795,2.722933644,0.000531365,4.166168717,2.868451688,0.000459159
